"Period","Stratum","Season","term","estimate","std.error","statistic","p.value","conf.low","conf.high","AxesNE"
"Before Warming","EGOM","Fall","Year",-0.00185480962281784,0.00224285565706704,-0.826985729988241,0.422117228323075,-0.00666525657901637,0.00295563733338069,"Longitude"
"Before Warming","EGOM","Fall","Year",0.000274301875086113,0.00100141126985359,0.27391530667137,0.788149636210231,-0.00187351168562674,0.00242211543579896,"Latitude"
"Before Warming","EGOM","Spring","Year",0.0032741681462018,0.00136082504344254,2.40601696888161,0.0305151365285438,0.000355488708441083,0.00619284758396252,"Latitude"
"Before Warming","EGOM","Spring","Year",0.00550417334047474,0.00281381847547623,1.95612239682348,0.0707049802635168,-0.000530867067943848,0.0115392137488933,"Longitude"
"Before Warming","EGOM","Summer","Year",-0.000490295902875376,0.000909533886394583,-0.53906282130831,0.598312015418688,-0.00244105207462462,0.00146046026887387,"Longitude"
"Before Warming","EGOM","Summer","Year",0.000597140271643159,0.000453620128723881,1.31638839158885,0.209188977642386,-0.000375778141815382,0.0015700586851017,"Latitude"
"Before Warming","BOF","Fall","Year",-0.0022913302828905,0.00128992242506574,-1.77633184629201,0.0974061775075343,-0.00505793872861815,0.000475278162837155,"Longitude"
"Before Warming","BOF","Fall","Year",-0.000828963096303655,0.0017842297988455,-0.464605566413049,0.649357026649308,-0.00465575541705375,0.00299782922444644,"Latitude"
"Before Warming","BOF","Spring","Year",-0.00288347825192416,0.00154189498147232,-1.87008731889819,0.0825269370165531,-0.00619051408235327,0.000423557578504953,"Longitude"
"Before Warming","BOF","Spring","Year",-0.000777840919683721,0.00179195590140209,-0.434073695159078,0.670849765410074,-0.00462120408234667,0.00306552224297923,"Latitude"
"Before Warming","BOF","Summer","Year",-0.00212842948211883,0.00209676135136665,-1.01510335486274,0.327279479923261,-0.00662553531627057,0.00236867635203292,"Longitude"
"Before Warming","BOF","Summer","Year",0.00138381796089499,0.00450275379999142,0.307327031937129,0.763118558557232,-0.00827362844829791,0.0110412643700879,"Latitude"
"Before Warming","CapeBreton","Fall","Year",-0.0030163707891714,0.000510182095124456,-5.91234153059717,3.7862226105028e-05,-0.00411060255520835,-0.00192213902313445,"Latitude"
"Before Warming","CapeBreton","Fall","Year",-0.00229631909156375,0.000953058766431041,-2.40942025029881,0.0303167387392962,-0.00434042684660841,-0.000252211336519089,"Longitude"
"Before Warming","CapeBreton","Spring","Year",-0.0063649748966465,0.0019047090712244,-3.34170451162649,0.00484324770776064,-0.0104501695569649,-0.00227978023632811,"Latitude"
"Before Warming","CapeBreton","Spring","Year",-0.00125955619691264,0.00228656204828828,-0.550851527451677,0.590418251735277,-0.00616374403917942,0.00364463164535414,"Longitude"
"Before Warming","CapeBreton","Summer","Year",-0.00379112156603819,0.00311795171327173,-1.21590130786858,0.244127654188849,-0.0104784628942339,0.00289621976215753,"Longitude"
"Before Warming","CapeBreton","Summer","Year",-0.0030108199776657,0.00257167647116791,-1.17076156795818,0.261237458446133,-0.00852651743865807,0.00250487748332668,"Latitude"
"Before Warming","HaliChan","Fall","Year",-0.00872471279413761,0.00330136639577472,-2.64275810322175,0.019300048895121,-0.0158054394917344,-0.00164398609654082,"Latitude"
"Before Warming","HaliChan","Fall","Year",0.0203601351687413,0.00706870118143777,2.88032194969657,0.0121035135247115,0.00519927897392472,0.0355209913635579,"Longitude"
"Before Warming","HaliChan","Spring","Year",-0.00956090484333226,0.00249880710439076,-3.82618763430454,0.00185253710062023,-0.014920313056504,-0.00420149663016052,"Latitude"
"Before Warming","HaliChan","Spring","Year",0.00839738214377454,0.00526156106245683,1.59598682674101,0.132810959777709,-0.00288754398064953,0.0196823082681986,"Longitude"
"Before Warming","HaliChan","Summer","Year",-0.00543597074838498,0.0025163244267658,-2.16028215223892,0.0485770949173547,-0.0108329498813947,-3.89916153752936e-05,"Latitude"
"Before Warming","HaliChan","Summer","Year",0.0044032585541466,0.00597012215467848,0.737549155622551,0.472969965539331,-0.00840137996845096,0.0172078970767442,"Longitude"
"Before Warming","CapeCod","Fall","Year",-0.00203152053938809,0.000988942497525331,-2.05423525075689,0.0591175475188467,-0.00415259124319661,8.95501644204246e-05,"Longitude"
"Before Warming","CapeCod","Fall","Year",0.00452789521480502,0.00209990097923196,2.15624225122325,0.0489443926455064,2.40555486027512e-05,0.0090317348810073,"Latitude"
"Before Warming","CapeCod","Spring","Year",-0.00244876992427031,0.0013186941910439,-1.85696573239003,0.0844787508143468,-0.00527708767065581,0.000379547822115185,"Longitude"
"Before Warming","CapeCod","Spring","Year",0.00808449633226327,0.00119453944831453,6.76787722973093,9.05400964972088e-06,0.00552246402532559,0.010646528639201,"Latitude"
"Before Warming","CapeCod","Summer","Year",-0.00360989269615401,0.000457699953005992,-7.8870287673085,1.61538934833203e-06,-0.00459156146242187,-0.00262822392988615,"Longitude"
"Before Warming","CapeCod","Summer","Year",0.00619281184222635,0.00110791968861732,5.58958551405018,6.66862511546449e-05,0.00381656044279788,0.00856906324165481,"Latitude"
"Before Warming","Browns","Fall","Year",-0.0078313594998333,0.00351610874210643,-2.22728023341556,0.0428484550150358,-0.0153726627231746,-0.000290056276492023,"Longitude"
"Before Warming","Browns","Fall","Year",0.0051285358739876,0.00103473759348891,4.95636372570102,0.000210935544849166,0.00290924445798448,0.00734782728999072,"Latitude"
"Before Warming","Browns","Spring","Year",-0.00571126084238162,0.00195565561531482,-2.92038168563856,0.0111823138757668,-0.00990572497226055,-0.00151679671250269,"Longitude"
