"Year","Lat","Lon","Abundance","Swept","Pred_TF"
0,42.106167,-67.339333,1,0.0405,FALSE
0,42.066,-66.405833,4,0.0405,FALSE
0,41.905833,-66.214833,1,0.0405,FALSE
0,41.849833,-66.161833,1,0.0405,FALSE
0,44.490833,-61.816833,1,0.0405,FALSE
0,44.384667,-59.336,2,0.0405,FALSE
0,44.365,-59.2545,1,0.0405,FALSE
0,44.118167,-59.291667,3,0.0405,FALSE
0,44.291,-59.536833,1,0.0405,FALSE
0,43.578833,-61.497,1,0.0405,FALSE
0,44.099333,-61.698667,1,0.0405,FALSE
0,44.044333,-62.131667,1,0.0405,FALSE
0,43.547167,-62.0805,2,0.0405,FALSE
0,43.536667,-62.636667,2,0.0405,FALSE
0,43.370833,-62.651833,1,0.0405,FALSE
0,42.948167,-62.136333,1,0.0405,FALSE
0,42.988333,-62.091,1,0.0405,FALSE
0,43.261833,-62.186667,1,0.0405,FALSE
0,43.223333,-61.939,2,0.0405,FALSE
0,44.051667,-58.9575,3,0.0405,FALSE
1,43.4925,-62.3405,5,0.0405,FALSE
1,43.355167,-62.222167,4,0.0405,FALSE
1,43.504667,-61.831,1,0.0405,FALSE
1,43.411167,-60.636,1,0.0405,FALSE
1,44.058333,-61.406833,1,0.0405,FALSE
1,44.6395,-60.5515,3,0.0405,FALSE
1,44.603167,-61.174667,1,0.0405,FALSE
1,42.710667,-65.972333,2,0.0405,FALSE
1,42.700833,-66.195667,1,0.0405,FALSE
1,44.009167,-66.406833,1,0.0405,FALSE
1,44.110667,-66.5,7,0.0405,FALSE
1,44.162667,-66.6715,1,0.0405,FALSE
1,44.614333,-66.989833,1,0.0405,FALSE
1,41.939333,-66.3275,1,0.0405,FALSE
1,42.387833,-65.6915,15,0.0405,FALSE
1,42.470667,-65.705833,3,0.0405,FALSE
1,42.473,-65.558333,1,0.0405,FALSE
1,42.590667,-65.500333,1,0.0405,FALSE
1,42.622,-65.383667,3,0.0405,FALSE
1,42.393667,-65.0475,4,0.0405,FALSE
1,42.695833,-64.530333,1,0.0405,FALSE
1,42.970167,-64.667333,3,0.0405,FALSE
1,43.241167,-62.971833,1,0.0405,FALSE
1,42.837,-63.122,1,0.0405,FALSE
1,43.331667,-62.574333,2,0.0405,FALSE
1,44.3095,-59.529667,1,0.0405,FALSE
1,44.238167,-59.572,6,0.0405,FALSE
1,44.218167,-59.077667,1,0.0405,FALSE
1,44.035,-58.827333,2,0.0405,FALSE
1,44.148833,-58.302333,3,0.0405,FALSE
1,44.301167,-57.8115,1,0.0405,FALSE
1,44.682167,-57.276,1,0.0405,FALSE
0,41.933667,-65.817167,0,0.0405,FALSE
0,41.9695,-65.930333,0,0.0405,FALSE
0,41.941,-66.039,0,0.0405,FALSE
0,41.975333,-66.154667,0,0.0405,FALSE
0,42.021,-66.199333,0,0.0405,FALSE
0,41.986333,-66.247,0,0.0405,FALSE
0,41.813333,-66.1255,0,0.0405,FALSE
0,41.767667,-66.062333,0,0.0405,FALSE
0,41.690333,-66.080167,0,0.0405,FALSE
0,41.687167,-66.000667,0,0.0405,FALSE
0,41.725,-65.9,0,0.0405,FALSE
0,41.809667,-65.759,0,0.0405,FALSE
0,41.789333,-65.7535,0,0.0405,FALSE
0,41.729167,-65.799333,0,0.0405,FALSE
0,41.691833,-65.9095,0,0.0405,FALSE
0,41.651667,-66.070167,0,0.0405,FALSE
0,41.621167,-66.092333,0,0.0405,FALSE
0,41.569,-66.1015,0,0.0405,FALSE
0,41.4855,-66.140667,0,0.0405,FALSE
0,41.464,-66.120333,0,0.0405,FALSE
0,41.458167,-66.068667,0,0.0405,FALSE
0,41.405333,-66.038333,0,0.0405,FALSE
0,41.4385,-66.217167,0,0.0405,FALSE
0,41.442333,-66.298167,0,0.0405,FALSE
0,41.385167,-66.301833,0,0.0405,FALSE
0,41.3155,-66.320167,0,0.0405,FALSE
0,41.275333,-66.418833,0,0.0405,FALSE
0,41.098,-66.495833,0,0.0405,FALSE
0,41.294333,-66.609833,0,0.0405,FALSE
0,41.5185,-66.708167,0,0.0405,FALSE
0,41.559167,-66.626667,0,0.0405,FALSE
0,41.586,-66.502167,0,0.0405,FALSE
0,41.703333,-66.621333,0,0.0405,FALSE
0,41.713333,-66.602333,0,0.0405,FALSE
0,41.767333,-66.452,0,0.0405,FALSE
0,41.798167,-66.4225,0,0.0405,FALSE
0,41.907,-66.5635,0,0.0405,FALSE
0,41.817833,-66.677333,0,0.0405,FALSE
0,41.866,-66.7405,0,0.0405,FALSE
0,41.843,-66.803333,0,0.0405,FALSE
0,41.778167,-66.666167,0,0.0405,FALSE
0,41.676,-66.717167,0,0.0405,FALSE
0,41.6185,-66.718,0,0.0405,FALSE
0,41.555667,-66.921667,0,0.0405,FALSE
0,41.703333,-67.193333,0,0.0405,FALSE
0,41.401,-66.959167,0,0.0405,FALSE
0,41.274,-67.2955,0,0.0405,FALSE
0,41.226,-67.0075,0,0.0405,FALSE
0,41.112333,-66.924333,0,0.0405,FALSE
0,40.984167,-66.794667,0,0.0405,FALSE
0,40.811833,-66.9135,0,0.0405,FALSE
