"Region","Period","term","estimate","std.error","statistic","p.value","conf.low","conf.high","multiplicative_change_per_year","percent_change_per_year","multiplicative_change_lower","multiplicative_change_upper","percent_change_lower","percent_change_upper","Indicator"
"Canada","1990-2005","year_centered",0.00306809079307336,0.00210943677263624,1.45445970833203,0.167870379989441,-0.00145620111588114,0.00759238270202786,1.00708955285412,0.708955285411816,0.996652588135508,1.0176358136643,-0.334741186449194,1.76358136642996,"Area Occupied"
"Canada","2006-2023","year_centered",0.0118110994241287,0.00211832052839914,5.57569039518994,4.18020318569199e-05,0.00732046051052623,0.0163017383377312,1.02756924974824,2.75692497482365,1.01699884690466,1.03824951841576,1.69988469046625,3.82495184157643,"Area Occupied"
"USA","1990-2005","year_centered",-0.015344097421789,0.00133827000039612,-11.4656215989653,1.67468603476799e-08,-0.0182144011034783,-0.0124737937400997,0.965285766890328,-3.47142331096724,0.958927114588614,0.971686583459251,-4.10728854113858,-2.83134165407495,"Area Occupied"
"USA","2006-2023","year_centered",0.0103495381319919,0.00249874979650843,4.14188653319897,0.000766244472727109,0.00505242519694567,0.0156466510670382,1.02411691225285,2.41169122528488,1.0117015729036,1.03668460942706,1.1701572903603,3.66846094270554,"Area Occupied"
