"Period","term","estimate","std.error","statistic","p.value","conf.low","conf.high","km_northward_shift_per_year","km_northward_shift_per_year_lower","km_northward_shift_per_year_upper","km_change_per_decade","km_change_per_half_century","shift_direction","is_significant_05","interpretation","Indicator"
"1990-2005","year_centered",2.68382352941176,2.61347303175134,1.026918394338,0.321875732183637,-2.9215186383207,8.28916569714422,2.68382352941176,-2.9215186383207,8.28916569714422,26.8382352941176,134.191176470588,"Expanding northward","Not significant","Leading edge shifts 2.68 km north per year (95% CI: 2.92 to 8.29 km)","Leading Edge N"
"2006-2023","year_centered",3.43137254901961,2.1590409459704,1.58930406365098,0.131554206475723,-1.14558979357871,8.00833489161793,3.43137254901961,-1.14558979357871,8.00833489161793,34.3137254901961,171.568627450981,"Expanding northward","Not significant","Leading edge shifts 3.43 km north per year (95% CI: 1.15 to 8.01 km)","Leading Edge N"
