"Region","Period","term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"Canada","1990-2005","(Intercept)",-5.55111512312578e-16,0.00926962871326331,-5.98849780809781e-14,0.999999999999953,-0.0198813762661483,0.0198813762661472
"Canada","1990-2005","logAB_centered",-0.223588989293521,0.115706006393701,-1.93238878656599,0.0738025846952014,-0.471753691518863,0.0245757129318211
"Canada","2006-2023","(Intercept)",-6.83477377454321e-16,0.012473091627778,-5.47961482085319e-14,0.999999999999957,-0.0264417730393995,0.0264417730393981
"Canada","2006-2023","logAB_centered",0.578922949493271,0.127685539780357,4.5339742502489,0.000338894679459128,0.308241697078966,0.849604201907577
"USA","1990-2005","(Intercept)",-1.83035394030119e-16,0.019718216607018,-9.28255316786476e-15,0.999999999999993,-0.0422913684882122,0.0422913684882118
"USA","1990-2005","logAB_centered",-0.0990908431328719,0.20301609377812,-0.488093536274865,0.633039275472139,-0.534517058501255,0.336335372235511
"USA","2006-2023","(Intercept)",-4.25980695243314e-17,0.0136348580749374,-3.12420336832344e-15,0.999999999999998,-0.0289046078871895,0.0289046078871894
"USA","2006-2023","logAB_centered",-0.442997486649426,0.118514099838423,-3.73793065342765,0.00179286512751739,-0.694236154929336,-0.191758818369516
