"Period","term","estimate","std.error","statistic","p.value","conf.low","conf.high","km_eastward_shift_per_year","km_eastward_shift_per_year_lower","km_eastward_shift_per_year_upper","km_change_per_decade","km_change_per_half_century","shift_direction","is_significant_05","interpretation","Indicator"
"1990-2005","year_centered",-3.16176470588235,6.50540907680291,-0.48602088947129,0.63447141989381,-17.1144794932689,10.7909500815042,-3.16176470588235,-17.1144794932689,10.7909500815042,-31.6176470588235,-158.088235294118,"Contracting westward","Not significant","Leading edge shifts 3.16 km west per year (95% CI: 17.11 to 10.79 km)","Leading Edge E"
"2006-2023","year_centered",14.6800825593396,5.20045064328845,2.82284816572297,0.0122497380705193,3.65561968229387,25.7045454363854,14.6800825593396,3.65561968229387,25.7045454363854,146.800825593396,734.004127966982,"Expanding eastward","Significant","Leading edge shifts 14.68 km east per year (95% CI: 3.66 to 25.7 km)","Leading Edge E"
