"","Index_Region","Season","Before","After","Difference","PercentChange","BeforeSD","AfterSD","DifferenceSD","PercentChangeSD"
"1","Canada","Fall",93.88,93.96,0.07,0.08,17.55,18.33,0.78,4.43
"2","Canada","Spring",93.9,93.71,-0.19,-0.2,16.52,17.8,1.28,7.72
"3","Canada","Summer",93.64,93.63,-0.01,-0.01,16.79,17.52,0.72,4.3
"4","USA","Fall",6.12,6.04,-0.07,-1.21,1.79,1.63,-0.16,-8.94
"5","USA","Spring",6.1,6.29,0.19,3.1,1.74,1.6,-0.14,-8.24
"6","USA","Summer",6.36,6.37,0.01,0.15,1.98,1.85,-0.13,-6.62
