"","Time","Category","Index_Region","Index_Estimate","Index_SD","Date","Year","Season","YearGroup"
"76",25,1,"All",912698.745451174,161531.862328266,25-05-31,1998,"Summer",9
"77",25,1,"USA",60180.7228496715,19707.0443307319,25-05-29,1998,"Summer",9
"78",25,1,"Canada",852518.022601502,156024.899526405,25-06-15,1998,"Summer",9
"79",26,1,"All",878284.13812105,160293.753099193,26-05-19,1998,"Fall",9
"80",26,1,"USA",59762.7594561572,17712.5737021596,26-07-10,1998,"Fall",9
"81",26,1,"Canada",818521.378664893,156848.314719614,26-07-02,1998,"Fall",9
"82",27,1,"All",987627.804834247,161581.048683532,27-07-21,1999,"Spring",10
"83",27,1,"USA",59064.1853702411,16481.7408275111,27-07-02,1999,"Spring",10
"84",27,1,"Canada",928563.619464006,158100.948262968,27-05-28,1999,"Spring",10
"85",28,1,"All",695745.841730071,126714.408183434,28-05-30,1999,"Summer",10
"86",28,1,"USA",46167.5283553175,15298.930243618,28-05-06,1999,"Summer",10
"87",28,1,"Canada",649578.313374754,121857.698073162,28-05-26,1999,"Summer",10
"88",29,1,"All",678157.674286343,124998.554785774,29-07-25,1999,"Fall",10
"89",29,1,"USA",38220.7133499395,11797.9079864357,29-05-23,1999,"Fall",10
"90",29,1,"Canada",639936.960936403,122292.709182172,29-05-20,1999,"Fall",10
"91",30,1,"All",885328.95290416,148697.920644323,31-06-24,2000,"Summer",11
"92",30,1,"USA",44159.0213991351,12571.8832468865,31-05-31,2000,"Summer",11
"93",30,1,"Canada",841169.931505024,146133.212963877,31-07-08,2000,"Summer",11
"94",31,1,"All",741439.852967484,133683.884365906,30-07-13,2000,"Spring",11
"95",31,1,"USA",43131.0872700402,14586.6283292472,30-06-30,2000,"Spring",11
"96",31,1,"Canada",698308.765697444,129383.5907994,30-05-12,2000,"Spring",11
"97",32,1,"All",710522.266087594,130126.062493804,32-05-10,2000,"Fall",11
"98",32,1,"USA",38561.6766944671,12510.0634215536,32-05-05,2000,"Fall",11
"99",32,1,"Canada",671960.589393127,127587.672399789,32-06-04,2000,"Fall",11
"100",33,1,"All",1001318.46174525,170520.303463484,33-05-04,2001,"Spring",12
"101",33,1,"USA",63748.2145784919,18679.5821195173,33-05-11,2001,"Spring",12
"102",33,1,"Canada",937570.247166758,166705.097714217,33-06-12,2001,"Spring",12
"103",34,1,"All",838372.485904479,142986.441532611,34-07-10,2001,"Summer",12
"104",34,1,"USA",49779.6696510432,16977.0362032649,34-07-29,2001,"Summer",12
"105",34,1,"Canada",788592.816253436,138424.495507621,34-06-09,2001,"Summer",12
"106",35,1,"All",819620.233780128,145364.176084098,35-07-14,2001,"Fall",12
"107",35,1,"USA",47607.9133329013,13735.0478539919,35-06-01,2001,"Fall",12
"108",35,1,"Canada",772012.320447226,142713.95065687,35-05-08,2001,"Fall",12
"109",36,1,"All",1000659.0330454,165847.86706869,36-05-23,2002,"Spring",13
"110",36,1,"USA",61352.7518851014,16324.9357566815,36-07-09,2002,"Spring",13
"111",36,1,"Canada",939306.281160301,162786.512886671,36-05-23,2002,"Spring",13
"112",37,1,"All",829186.140184572,143572.998704118,37-07-13,2002,"Summer",13
"113",37,1,"USA",57837.3160455673,18841.4313126625,37-06-15,2002,"Summer",13
"114",37,1,"Canada",771348.824139004,138256.110866324,37-06-29,2002,"Summer",13
"115",38,1,"All",780445.758908228,137919.842707227,38-05-09,2002,"Fall",13
"116",38,1,"USA",46899.6103468355,13620.2136872624,38-05-24,2002,"Fall",13
"117",38,1,"Canada",733546.148561393,135125.667548946,38-06-18,2002,"Fall",13
"118",39,1,"All",1127983.28548993,187576.752283462,39-05-19,2003,"Spring",14
"119",39,1,"USA",85515.1637396934,24353.8656430985,39-06-08,2003,"Spring",14
"120",39,1,"Canada",1042468.12175024,181798.779341034,39-07-22,2003,"Spring",14
"121",40,1,"All",794351.385942622,139161.721200796,40-05-11,2003,"Summer",14
"122",40,1,"USA",70161.1320732283,23061.3767123066,40-07-01,2003,"Summer",14
"123",40,1,"Canada",724190.253869393,132376.585694783,40-07-18,2003,"Summer",14
"124",41,1,"All",892960.571906533,156619.442868204,41-05-29,2003,"Fall",14
"125",41,1,"USA",77794.5586989393,23173.9247048734,41-05-07,2003,"Fall",14
"126",41,1,"Canada",815166.013207594,151627.850070728,41-05-08,2003,"Fall",14
"127",42,1,"All",1069507.94638263,182687.379454861,43-06-21,2004,"Summer",15
"128",42,1,"USA",78981.9544678401,23176.5565162302,43-05-27,2004,"Summer",15
"129",42,1,"Canada",990525.991914792,177713.500467793,43-05-30,2004,"Summer",15
"130",43,1,"All",1059693.70452546,182136.748250279,42-06-20,2004,"Spring",15
"131",43,1,"USA",78925.9042638211,26418.7482685262,42-06-18,2004,"Spring",15
"132",43,1,"Canada",980767.800261636,174749.675103899,42-05-23,2004,"Spring",15
"133",44,1,"All",1017906.39387339,176361.451650101,44-07-18,2004,"Fall",15
"134",44,1,"USA",88700.9112062471,26961.4492048587,44-06-08,2004,"Fall",15
"135",44,1,"Canada",929205.482667147,171185.637087359,44-06-21,2004,"Fall",15
"136",45,1,"All",1477217.8962883,223050.850479457,45-06-17,2005,"Spring",16
"137",45,1,"USA",92563.4243614663,25201.7103285645,45-06-26,2005,"Spring",16
"138",45,1,"Canada",1384654.47192683,218085.307062014,45-06-27,2005,"Spring",16
"139",46,1,"All",1266767.60454331,199077.241182073,46-07-03,2005,"Summer",16
"140",46,1,"USA",81264.7536378263,25331.4050521124,46-05-13,2005,"Summer",16
