"","quantile","time","axis","Units","value","Season","YearGroup","Year"
"79","quantile_0.05",27,"km_E","Estimate",-411.116871558553,"Fall",9,1998
"80","quantile_0.5",27,"km_E","Estimate",138.883128441447,"Fall",9,1998
"81","quantile_0.95",27,"km_E","Estimate",888.883128441447,"Fall",9,1998
"82","quantile_0.05",28,"km_E","Estimate",-436.116871558553,"Spring",10,1999
"83","quantile_0.5",28,"km_E","Estimate",113.883128441447,"Spring",10,1999
"84","quantile_0.95",28,"km_E","Estimate",913.883128441447,"Spring",10,1999
"85","quantile_0.05",29,"km_E","Estimate",-461.116871558553,"Summer",10,1999
"86","quantile_0.5",29,"km_E","Estimate",38.8831284414477,"Summer",10,1999
"87","quantile_0.95",29,"km_E","Estimate",913.883128441447,"Summer",10,1999
"88","quantile_0.05",30,"km_E","Estimate",-461.116871558552,"Fall",10,1999
"89","quantile_0.5",30,"km_E","Estimate",-161.116871558552,"Fall",10,1999
"90","quantile_0.95",30,"km_E","Estimate",763.883128441447,"Fall",10,1999
"91","quantile_0.05",31,"km_E","Estimate",-361.116871558553,"Spring",11,2000
"92","quantile_0.5",31,"km_E","Estimate",88.8831284414469,"Spring",11,2000
"93","quantile_0.95",31,"km_E","Estimate",863.883128441447,"Spring",11,2000
"94","quantile_0.05",32,"km_E","Estimate",-436.116871558553,"Summer",11,2000
"95","quantile_0.5",32,"km_E","Estimate",-11.1168715585527,"Summer",11,2000
"96","quantile_0.95",32,"km_E","Estimate",788.883128441447,"Summer",11,2000
"97","quantile_0.05",33,"km_E","Estimate",-436.116871558553,"Fall",11,2000
"98","quantile_0.5",33,"km_E","Estimate",38.8831284414477,"Fall",11,2000
"99","quantile_0.95",33,"km_E","Estimate",738.883128441447,"Fall",11,2000
"100","quantile_0.05",34,"km_E","Estimate",-361.116871558554,"Spring",12,2001
"101","quantile_0.5",34,"km_E","Estimate",13.8831284414476,"Spring",12,2001
"102","quantile_0.95",34,"km_E","Estimate",738.883128441447,"Spring",12,2001
"103","quantile_0.05",35,"km_E","Estimate",-361.116871558553,"Summer",12,2001
"104","quantile_0.5",35,"km_E","Estimate",-161.116871558552,"Summer",12,2001
"105","quantile_0.95",35,"km_E","Estimate",588.883128441447,"Summer",12,2001
"106","quantile_0.05",36,"km_E","Estimate",-436.116871558553,"Fall",12,2001
"107","quantile_0.5",36,"km_E","Estimate",38.8831284414477,"Fall",12,2001
"108","quantile_0.95",36,"km_E","Estimate",788.883128441447,"Fall",12,2001
"109","quantile_0.05",37,"km_E","Estimate",-461.116871558552,"Spring",13,2002
"110","quantile_0.5",37,"km_E","Estimate",63.883128441447,"Spring",13,2002
"111","quantile_0.95",37,"km_E","Estimate",863.883128441447,"Spring",13,2002
"112","quantile_0.05",38,"km_E","Estimate",-411.116871558553,"Summer",13,2002
"113","quantile_0.5",38,"km_E","Estimate",13.8831284414468,"Summer",13,2002
"114","quantile_0.95",38,"km_E","Estimate",738.883128441447,"Summer",13,2002
"115","quantile_0.05",39,"km_E","Estimate",-436.116871558553,"Fall",13,2002
"116","quantile_0.5",39,"km_E","Estimate",38.8831284414477,"Fall",13,2002
"117","quantile_0.95",39,"km_E","Estimate",863.883128441447,"Fall",13,2002
"118","quantile_0.05",40,"km_E","Estimate",-361.116871558554,"Spring",14,2003
"119","quantile_0.5",40,"km_E","Estimate",-136.116871558553,"Spring",14,2003
"120","quantile_0.95",40,"km_E","Estimate",563.883128441447,"Spring",14,2003
"121","quantile_0.05",41,"km_E","Estimate",-411.116871558553,"Summer",14,2003
"122","quantile_0.5",41,"km_E","Estimate",63.8831284414474,"Summer",14,2003
"123","quantile_0.95",41,"km_E","Estimate",888.883128441447,"Summer",14,2003
"124","quantile_0.05",42,"km_E","Estimate",-461.116871558552,"Fall",14,2003
"125","quantile_0.5",42,"km_E","Estimate",-86.1168715585526,"Fall",14,2003
"126","quantile_0.95",42,"km_E","Estimate",863.883128441447,"Fall",14,2003
"127","quantile_0.05",43,"km_E","Estimate",-411.116871558553,"Spring",15,2004
"128","quantile_0.5",43,"km_E","Estimate",-11.1168715585528,"Spring",15,2004
"129","quantile_0.95",43,"km_E","Estimate",913.883128441447,"Spring",15,2004
"130","quantile_0.05",44,"km_E","Estimate",-436.116871558553,"Summer",15,2004
"131","quantile_0.5",44,"km_E","Estimate",113.883128441447,"Summer",15,2004
"132","quantile_0.95",44,"km_E","Estimate",938.883128441447,"Summer",15,2004
"133","quantile_0.05",45,"km_E","Estimate",-436.116871558553,"Fall",15,2004
"134","quantile_0.5",45,"km_E","Estimate",88.8831284414469,"Fall",15,2004
"135","quantile_0.95",45,"km_E","Estimate",888.883128441447,"Fall",15,2004
"136","quantile_0.05",46,"km_E","Estimate",-386.116871558552,"Spring",16,2005
"137","quantile_0.5",46,"km_E","Estimate",13.8831284414469,"Spring",16,2005
"138","quantile_0.95",46,"km_E","Estimate",763.883128441447,"Spring",16,2005
"139","quantile_0.05",47,"km_E","Estimate",-461.116871558552,"Summer",16,2005
"140","quantile_0.5",47,"km_E","Estimate",-186.116871558553,"Summer",16,2005
"141","quantile_0.95",47,"km_E","Estimate",788.883128441447,"Summer",16,2005
"142","quantile_0.05",48,"km_E","Estimate",-461.116871558552,"Fall",16,2005
"143","quantile_0.5",48,"km_E","Estimate",-186.116871558553,"Fall",16,2005
"144","quantile_0.95",48,"km_E","Estimate",738.883128441447,"Fall",16,2005
"145","quantile_0.05",49,"km_E","Estimate",-436.116871558553,"Spring",17,2006
"146","quantile_0.5",49,"km_E","Estimate",63.883128441447,"Spring",17,2006
"147","quantile_0.95",49,"km_E","Estimate",488.883128441447,"Spring",17,2006
"148","quantile_0.05",50,"km_E","Estimate",-436.116871558553,"Summer",17,2006
"149","quantile_0.5",50,"km_E","Estimate",63.8831284414471,"Summer",17,2006
"150","quantile_0.95",50,"km_E","Estimate",913.883128441447,"Summer",17,2006
"151","quantile_0.05",51,"km_E","Estimate",-386.116871558553,"Fall",17,2006
"152","quantile_0.5",51,"km_E","Estimate",63.883128441447,"Fall",17,2006
"153","quantile_0.95",51,"km_E","Estimate",963.883128441447,"Fall",17,2006
"154","quantile_0.05",52,"km_E","Estimate",-461.116871558553,"Spring",18,2007
"155","quantile_0.5",52,"km_E","Estimate",88.8831284414473,"Spring",18,2007
"156","quantile_0.95",52,"km_E","Estimate",963.883128441447,"Spring",18,2007
"157","quantile_0.05",53,"km_E","Estimate",-386.116871558553,"Summer",18,2007
"158","quantile_0.5",53,"km_E","Estimate",88.8831284414474,"Summer",18,2007
"159","quantile_0.95",53,"km_E","Estimate",963.883128441447,"Summer",18,2007
"160","quantile_0.05",54,"km_E","Estimate",-361.116871558553,"Fall",18,2007
"161","quantile_0.5",54,"km_E","Estimate",13.8831284414475,"Fall",18,2007
"162","quantile_0.95",54,"km_E","Estimate",863.883128441447,"Fall",18,2007
"163","quantile_0.05",55,"km_E","Estimate",-461.116871558552,"Spring",19,2008
"164","quantile_0.5",55,"km_E","Estimate",38.8831284414476,"Spring",19,2008
"165","quantile_0.95",55,"km_E","Estimate",888.883128441447,"Spring",19,2008
"166","quantile_0.05",56,"km_E","Estimate",-411.116871558553,"Summer",19,2008
"167","quantile_0.5",56,"km_E","Estimate",13.8831284414475,"Summer",19,2008
"168","quantile_0.95",56,"km_E","Estimate",888.883128441447,"Summer",19,2008
"169","quantile_0.05",57,"km_E","Estimate",-411.116871558552,"Fall",19,2008
"170","quantile_0.5",57,"km_E","Estimate",113.883128441447,"Fall",19,2008
"171","quantile_0.95",57,"km_E","Estimate",913.883128441447,"Fall",19,2008
"172","quantile_0.05",58,"km_E","Estimate",-361.116871558553,"Spring",20,2009
"173","quantile_0.5",58,"km_E","Estimate",13.8831284414474,"Spring",20,2009
"174","quantile_0.95",58,"km_E","Estimate",838.883128441447,"Spring",20,2009
"175","quantile_0.05",59,"km_E","Estimate",-436.116871558553,"Summer",20,2009
"176","quantile_0.5",59,"km_E","Estimate",-136.116871558553,"Summer",20,2009
"177","quantile_0.95",59,"km_E","Estimate",888.883128441447,"Summer",20,2009
"178","quantile_0.05",60,"km_E","Estimate",-386.116871558553,"Fall",20,2009
"179","quantile_0.5",60,"km_E","Estimate",63.8831284414471,"Fall",20,2009
"180","quantile_0.95",60,"km_E","Estimate",913.883128441447,"Fall",20,2009
"181","quantile_0.05",61,"km_E","Estimate",-436.116871558553,"Spring",21,2010
"182","quantile_0.5",61,"km_E","Estimate",63.883128441447,"Spring",21,2010
"183","quantile_0.95",61,"km_E","Estimate",1013.88312844145,"Spring",21,2010
"184","quantile_0.05",62,"km_E","Estimate",-386.116871558553,"Summer",21,2010
"185","quantile_0.5",62,"km_E","Estimate",-36.1168715585528,"Summer",21,2010
"186","quantile_0.95",62,"km_E","Estimate",913.883128441447,"Summer",21,2010
"187","quantile_0.05",63,"km_E","Estimate",-436.116871558553,"Fall",21,2010
"188","quantile_0.5",63,"km_E","Estimate",38.8831284414475,"Fall",21,2010
"189","quantile_0.95",63,"km_E","Estimate",838.883128441447,"Fall",21,2010
"190","quantile_0.05",64,"km_E","Estimate",-411.116871558553,"Spring",22,2011
"191","quantile_0.5",64,"km_E","Estimate",88.8831284414474,"Spring",22,2011
"192","quantile_0.95",64,"km_E","Estimate",1013.88312844145,"Spring",22,2011
"193","quantile_0.05",65,"km_E","Estimate",-386.116871558553,"Summer",22,2011
"194","quantile_0.5",65,"km_E","Estimate",38.883128441447,"Summer",22,2011
"195","quantile_0.95",65,"km_E","Estimate",788.883128441447,"Summer",22,2011
"196","quantile_0.05",66,"km_E","Estimate",-411.116871558553,"Fall",22,2011
"197","quantile_0.5",66,"km_E","Estimate",13.8831284414472,"Fall",22,2011
"198","quantile_0.95",66,"km_E","Estimate",913.883128441447,"Fall",22,2011
"199","quantile_0.05",67,"km_E","Estimate",-436.116871558553,"Spring",23,2012
"200","quantile_0.5",67,"km_E","Estimate",138.883128441447,"Spring",23,2012
"201","quantile_0.95",67,"km_E","Estimate",1013.88312844145,"Spring",23,2012
"202","quantile_0.05",68,"km_E","Estimate",-461.116871558552,"Summer",23,2012
"203","quantile_0.5",68,"km_E","Estimate",38.8831284414472,"Summer",23,2012
"204","quantile_0.95",68,"km_E","Estimate",913.883128441447,"Summer",23,2012
"205","quantile_0.05",69,"km_E","Estimate",-386.116871558553,"Fall",23,2012
"206","quantile_0.5",69,"km_E","Estimate",63.8831284414471,"Fall",23,2012
"207","quantile_0.95",69,"km_E","Estimate",1013.88312844145,"Fall",23,2012
"208","quantile_0.05",70,"km_E","Estimate",-411.116871558553,"Spring",24,2013
"209","quantile_0.5",70,"km_E","Estimate",38.8831284414477,"Spring",24,2013
"210","quantile_0.95",70,"km_E","Estimate",1013.88312844145,"Spring",24,2013
"211","quantile_0.05",71,"km_E","Estimate",-436.116871558553,"Summer",24,2013
"212","quantile_0.5",71,"km_E","Estimate",138.883128441448,"Summer",24,2013
"213","quantile_0.95",71,"km_E","Estimate",1088.88312844145,"Summer",24,2013
"214","quantile_0.05",72,"km_E","Estimate",-436.116871558553,"Fall",24,2013
"215","quantile_0.5",72,"km_E","Estimate",138.883128441447,"Fall",24,2013
"216","quantile_0.95",72,"km_E","Estimate",1013.88312844145,"Fall",24,2013
"217","quantile_0.05",73,"km_E","Estimate",-436.116871558553,"Spring",25,2014
"218","quantile_0.5",73,"km_E","Estimate",238.883128441447,"Spring",25,2014
"219","quantile_0.95",73,"km_E","Estimate",938.883128441447,"Spring",25,2014
"220","quantile_0.05",74,"km_E","Estimate",-411.116871558553,"Summer",25,2014
