"Year","Season","Stratum","Dist_Mean","Dist_Med","Dist_Q5","Dist_Q95"
1990,"Fall","BOF",57.8384525754285,70.7634961229582,19.3541381103561,123.74468160304
1990,"Fall","Browns",142.039839369012,140.464226086021,36.4355322845127,233.969624079572
1990,"Fall","CapeBreton",624.42878799866,619.778051839126,545.826822128124,721.168545575568
1990,"Fall","CapeCod",175.529633546535,182.74994183318,258.519076786101,132.738649059849
1990,"Fall","EGOM",65.417003737273,54.1026206343428,119.101218634437,16.4381271162339
1990,"Fall","GBTail",1326.88680041531,1335.01149807102,1197.86639358321,1424.48959927878
1990,"Fall","Georges",33.8266562986314,42.3500034415901,82.5890935181444,99.5185703170971
1990,"Fall","GrandBanks",1122.43210074365,1118.30732723222,1012.73685418098,1213.0657004671
1990,"Fall","Gully",652.578418619114,672.316683108967,520.682694040135,790.651827478524
1990,"Fall","HaliChan",950.774073345357,949.308137146122,859.022792235048,1057.56193841662
1990,"Fall","Nantucket",218.114800117443,217.350133355337,304.973268726015,151.286115693227
1990,"Fall","Sable",466.442557825935,455.875910982666,346.834350388033,594.174975924107
1990,"Spring","BOF",57.1796111140528,70.7634961229582,20.647884367434,124.527926329445
1990,"Spring","Browns",144.390536556008,138.800561704394,36.6762055016992,234.481054632105
1990,"Spring","CapeBreton",624.357650567243,619.31761079558,545.862528446869,731.928405193435
1990,"Spring","CapeCod",171.602930513125,169.938418332092,258.090614521769,131.990825651806
1990,"Spring","EGOM",73.3265045567895,77.3316203057682,120.117525273719,17.2868144442481
1990,"Spring","GBTail",1344.57112962811,1379.35229553898,1198.21035663588,1451.05797456544
1990,"Spring","Georges",37.2310400945108,45.3297510285096,84.49564977997,98.0289171457051
1990,"Spring","GrandBanks",1121.42861431722,1118.65355189713,1015.19727681237,1214.3796975997
1990,"Spring","Gully",643.191040836266,643.930804455862,520.530932735796,790.600286132084
1990,"Spring","HaliChan",951.983366251052,949.094880193457,859.005819074585,1056.58668260788
1990,"Spring","Nantucket",231.185607641125,235.200773779609,328.361831954438,149.397370326421
1990,"Spring","Sable",454.325464542606,437.998926054172,345.588938069412,587.709971456849
1990,"Summer","BOF",59.7727689343843,70.7634961229582,22.1450403390861,101.832496741577
1990,"Summer","Browns",143.264810670427,137.07260287445,42.2376526243985,231.459670183469
1990,"Summer","CapeBreton",627.781528484183,621.247694485497,545.886506911132,731.912926777499
1990,"Summer","CapeCod",175.201293312285,178.95901516392,259.059449942014,132.391531538057
1990,"Summer","EGOM",70.1878119472677,78.3415267640854,121.086514805906,17.2663660558406
1990,"Summer","GBTail",1363.64411708009,1388.7835406587,1199.03441205627,1448.50969668028
1990,"Summer","Georges",44.872091188692,65.8818959303348,83.7463304425675,97.3986386426003
1990,"Summer","GrandBanks",1121.89577418356,1118.65355189713,1014.81749595389,1224.34675766347
1990,"Summer","Gully",656.141209817076,672.316683108967,520.807154205195,790.639808079524
1990,"Summer","HaliChan",943.444489487211,942.366859788846,857.400971693232,1016.38875246986
1990,"Summer","Nantucket",230.68758387091,235.200773779609,326.486915674665,150.294236560247
1990,"Summer","Sable",448.689333172419,445.576676810938,347.809560605187,572.869822845448
