"Year","Season","Stratum","Dist_Mean","Dist_Med","Dist_Q5","Dist_Q95"
1990,"Fall","Canada",552.188388097848,502.701131995003,47.6185903732722,1170.78967723911
1990,"Fall","USA",66.9224395415898,84.2857559293122,298.788567264894,9.85410887079294
1990,"Spring","Canada",503.058033609825,445.115541416356,45.845079265897,1245.43840735086
1990,"Spring","USA",74.4177579106686,77.9317262912126,319.160923390402,4.7884405500862
1990,"Summer","Canada",370.775119695019,400.625613383836,41.733537744238,857.037964000063
1990,"Summer","USA",71.8245979033075,84.255864335286,318.281687874024,9.13029337566735
1991,"Fall","Canada",528.611880858105,484.160786645509,49.2845954620142,1169.53029108714
1991,"Fall","USA",74.0598132333636,88.0959980229308,292.442401091326,11.6853854708993
1991,"Spring","Canada",542.770311035884,525.67327210184,47.8746909738968,1044.98641252644
1991,"Spring","USA",64.6770557627622,81.3463742564928,301.005314005418,7.5742734738715
1991,"Summer","Canada",541.279565502758,508.301750104419,46.1621368932328,1166.66623638903
1991,"Summer","USA",69.7482917331469,83.9010259719974,317.788549960813,9.42937432932166
1992,"Fall","Canada",538.88583788339,499.690868696066,50.1048119641861,1165.97904748613
1992,"Fall","USA",71.1752778098498,89.4883318580458,303.632698897418,11.8191684913957
1992,"Spring","Canada",538.132588499531,491.477842832059,46.142175005774,1170.47122406413
1992,"Spring","USA",72.0952244258027,87.1294624783036,318.178058631603,11.9405296942643
1992,"Summer","Canada",519.819012526593,489.355499685229,48.8894065925305,853.57912243085
1992,"Summer","USA",70.9174292180441,86.3133694610688,315.694880629016,11.9353195020509
1993,"Fall","Canada",529.734653072824,493.573360102806,51.4714506092934,1144.16728196866
1993,"Fall","USA",68.8936708511892,85.8055465115638,297.270933497272,11.8193115475813
1993,"Spring","Canada",496.880305048476,462.406164943607,47.9944271499188,1123.51105542562
1993,"Spring","USA",73.359391972195,88.5605851904287,314.394803041536,12.1328838599656
1993,"Summer","Canada",520.829768153024,485.253828372617,52.4237727413815,1115.89009262761
1993,"Summer","USA",68.3184727184075,86.8856958516356,317.334687275253,11.618570077518
1994,"Fall","Canada",542.599583614213,516.760004309267,50.8326752511875,1117.30016147532
1994,"Fall","USA",72.0921874295271,92.4915514164585,287.701918346198,11.8324382059713
1994,"Spring","Canada",528.513895566764,471.301293979631,49.7704171322823,1147.7405280519
1994,"Spring","USA",70.7159909502092,86.3133694610688,300.03359004706,11.6892476086679
1994,"Summer","Canada",541.344212231354,510.156377005066,56.0998054176257,1075.57596472937
1994,"Summer","USA",69.0602573676287,88.7903763955637,317.659737157824,11.7781600442795
1995,"Fall","Canada",562.57554798609,530.66572381054,51.3241323092776,1121.35789146199
1995,"Fall","USA",75.5945286499163,92.4915514164585,290.114768481399,12.1387000948309
1995,"Spring","Canada",546.050359713474,550.079204108031,60.4326956281133,1020.5457753221
1995,"Spring","USA",76.6280653506881,88.5605851904287,317.414111347818,12.0847925855483
1995,"Summer","Canada",567.990013002337,575.910975324099,51.7872432570447,1097.75630626177
1995,"Summer","USA",70.2722846018809,88.7903763955637,317.764065669455,11.7449631128704
1996,"Fall","Canada",544.426415198449,512.33896867623,55.6903960517554,1138.02872374188
1996,"Fall","USA",72.1736950629291,91.1855199935999,304.20809611815,11.8894675195347
1996,"Spring","Canada",497.605245637493,459.473859618057,44.84690560938,1029.64550208724
1996,"Spring","USA",69.657467141158,87.8464774938108,310.615930419656,11.8210185491012
1996,"Summer","Canada",548.731761131507,501.649681618966,52.2514795105963,1076.76604747161
1996,"Summer","USA",71.0966283005269,91.3430950524727,312.918179177624,11.8932925563963
1997,"Fall","Canada",549.708865432562,508.298387386012,50.1124475978506,1124.66355340178
1997,"Fall","USA",82.0313173178728,92.4915514164585,301.250664787528,12.1162086030942
1997,"Spring","Canada",551.922583961972,541.870102143858,54.8349306598493,1053.8050594723
1997,"Spring","USA",69.2474344902314,84.7946701673205,317.684355241718,11.9317669874278
1997,"Summer","Canada",537.453871295864,486.209432357574,43.6153389113922,1121.90906696387
1997,"Summer","USA",74.564961744697,92.4915514164585,303.802397143839,12.0106278522995
1998,"Fall","Canada",526.767465471227,501.615145374204,46.5415625416592,1122.0811240759
1998,"Fall","USA",73.5087365163394,87.8591509276986,260.707973014933,14.5696237345656
1998,"Spring","Canada",514.515160342292,465.587160916092,45.7906751313862,1096.7910709039
1998,"Spring","USA",76.7461674391189,92.4915514164585,295.379825288197,12.0079659587346
1998,"Summer","Canada",483.800525044248,453.04105012942,45.8331122713887,889.259581190484
1998,"Summer","USA",76.2162986733282,89.5739974843333,289.246161196723,12.1059755015869
1999,"Fall","Canada",557.963801292631,536.238428932328,46.4886327166633,1144.09047808789
1999,"Fall","USA",75.2692621178025,89.5739974843333,272.140077645269,12.1280162886892
1999,"Spring","Canada",546.209137166958,548.432840175644,48.4430298971226,1068.01930684144
1999,"Spring","USA",72.4405619524503,89.417330041655,289.124272185224,11.8648270282323
1999,"Summer","Canada",449.158539624399,497.054864273309,47.4241793551906,1150.2987801822
1999,"Summer","USA",73.3886445112047,89.5739974843333,290.069217583314,11.9644653518937
2000,"Fall","Canada",540.97914830996,506.387765036434,48.376164145505,1131.94194012235
2000,"Fall","USA",80.4360405801874,93.8285937981586,256.874143096926,14.7827711010315
2000,"Spring","Canada",545.980286249393,513.005669256316,48.1106592704877,1144.20272891475
2000,"Spring","USA",75.1973897922356,92.4915514164585,290.033398611873,11.9685431696625
2000,"Summer","Canada",424.784907060784,464.183206159512,46.635688754291,1054.13672480292
2000,"Summer","USA",76.0811948377907,89.5739974843333,287.539056564965,12.0547372570452
2001,"Fall","Canada",521.9324319043,480.914783965767,46.7409041596774,1119.33165364217
2001,"Fall","USA",72.0022666305981,77.3316203057682,266.122145850795,11.9898109389422
2001,"Spring","Canada",532.472641520002,498.466977716502,45.3019093877404,1119.33835075878
2001,"Spring","USA",76.139148320514,83.6376201297214,265.977072491397,14.1165685785729
2001,"Summer","Canada",376.510430940834,394.434847574677,45.6824858275232,870.965683858996
2001,"Summer","USA",73.9710649149847,76.4856638885389,270.943604747298,12.1042357746775
2002,"Fall","Canada",539.384576752616,504.625914981826,46.5239105904923,1191.04236467345
2002,"Fall","USA",73.8438003997704,86.2000467631087,274.529216380068,11.9368808795174
2002,"Spring","Canada",520.286774387077,459.173724818218,50.2347684848638,1142.91673725169
2002,"Spring","USA",71.1473177210953,72.6554329349272,286.045439159729,11.9437443811594
2002,"Summer","Canada",508.86966858194,470.290036402815,49.8551089758005,1007.3678169711
2002,"Summer","USA",72.9925218066083,84.8093139272222,285.336859808616,11.9559546600339
2003,"Fall","Canada",534.236649821228,504.618670440737,48.1066558412936,1147.97612833655
2003,"Fall","USA",73.0768496357818,77.3316203057682,230.942828179912,14.852127633598
2003,"Spring","Canada",384.518413998283,407.546745183931,43.2513002046292,955.966231696575
2003,"Spring","USA",66.0425684540734,74.2720036022312,255.366724259281,11.8359359259578
2003,"Summer","Canada",435.171887874437,479.242924875055,44.9131076574921,1169.038602922
2003,"Summer","USA",74.6622528647584,76.4856638885389,273.824988974299,12.0698486591878
2004,"Fall","Canada",522.748407016006,493.573360102806,46.6332103232216,1140.590044863
2004,"Fall","USA",79.7833932419494,94.2830670948484,220.422464454696,14.9186274389874
2004,"Spring","Canada",435.233676192023,461.995339798942,44.2652473577249,1178.78116590105
2004,"Spring","USA",75.7258232519959,72.2196216465375,251.126050022837,12.0571931328728
2004,"Summer","Canada",423.457405732806,460.159027263883,44.5198080041971,1143.00595425296
2004,"Summer","USA",79.1179441579709,94.5074319507239,269.97395208148,14.8722640890915
2005,"Fall","Canada",397.949839438281,427.953424783624,43.5025347243316,1086.98166975694
2005,"Fall","USA",75.9462982125983,86.9202552745866,258.105719755782,12.0019080056705
2005,"Spring","Canada",397.838760567038,435.833171501203,43.3600952217587,1134.77240965732
2005,"Spring","USA",73.7297554298686,84.8093139272222,251.902451844517,11.890522580484
2005,"Summer","Canada",411.831251390035,278.031708078719,44.6520054248749,857.374432029315
2005,"Summer","USA",76.0374285797968,89.5739974843333,272.02918688467,12.0100309030952
2006,"Fall","Canada",522.367107701153,480.914783965767,46.1584427987679,1171.8380873289
2006,"Fall","USA",73.2001279204305,76.4856638885389,257.488807718345,12.0537440674993
2006,"Spring","Canada",406.986878065303,494.84236586272,45.6329374226346,756.688118927811
2006,"Spring","USA",66.3677646192904,74.2720036022312,263.234085040377,11.8614036183506
2006,"Summer","Canada",406.948687378631,424.551731942435,46.9252900691779,1076.20118956614
2006,"Summer","USA",75.1718802612457,76.4856638885389,271.973733079236,12.0474874834307
2007,"Fall","Canada",535.513070578866,501.63258206919,47.7507138530405,1189.40548476814
2007,"Fall","USA",76.8090775172927,76.2086524820107,258.804412430353,12.04428680641
2007,"Spring","Canada",443.927578163762,459.173724818218,44.1171636783412,1213.35574902349
2007,"Spring","USA",81.3228889675763,92.4915514164585,281.176157270004,12.0020083736328
2007,"Summer","Canada",400.021907004504,404.015511781876,44.7536892982704,1144.34323880989
2007,"Summer","USA",77.7752539878337,89.417330041655,277.39439402976,12.0204567790931
2008,"Fall","Canada",542.102920490059,508.301750104419,45.4780168937661,1193.77805330555
2008,"Fall","USA",71.608790935462,78.3415267640854,219.539380196125,14.7681498688383
2008,"Spring","Canada",431.534320614167,462.720833928679,46.0126300185996,1200.56825360541
2008,"Spring","USA",75.3297913999575,76.4856638885389,249.998844319586,12.0908448805659
2008,"Summer","Canada",500.674755847045,452.942267715755,46.4043393717142,1168.87290371041
2008,"Summer","USA",77.1430811150152,77.3163922113325,257.627782295059,12.1081750310361
2009,"Fall","Canada",544.275185956951,507.834764475709,45.2802270690294,1217.69128696013
2009,"Fall","USA",76.8964481946439,77.3316203057682,222.966934602222,14.8787330811635
2009,"Spring","Canada",430.733582781128,470.047953662655,43.8788502681477,1164.5842065332
2009,"Spring","USA",68.0425358671235,54.4792792615732,250.169989182154,11.7181158608891
2009,"Summer","Canada",415.72049676822,437.59956542004,43.5608366128791,1144.51007348921
2009,"Summer","USA",76.8755367831738,76.4856638885389,260.221010511454,11.990045593215
2010,"Fall","Canada",456.286783197308,507.334028821916,45.0756834042807,1219.77105836128
2010,"Fall","USA",73.9491715240757,77.3316203057682,237.728071951473,12.0602544466647
2010,"Spring","Canada",549.948669701597,529.77496001943,46.5275653747994,1165.296302993
2010,"Spring","USA",76.851381559984,77.3316203057682,218.271395158601,14.7814900182371
2010,"Summer","Canada",408.955981604753,402.346295999084,49.0738202200068,1175.35076888652
2010,"Summer","USA",78.0372268447517,76.4856638885389,257.773659643112,12.0590276068072
2011,"Fall","Canada",470.532251753182,530.823732484443,44.8487200367478,1220.70989299515
2011,"Fall","USA",87.6849281782211,92.928428668228,256.244762128229,12.0402354723768
2011,"Spring","Canada",574.921770399818,533.957312011107,44.4717798323436,1254.5329104497
2011,"Spring","USA",82.249832277122,91.3430950524727,249.303835492271,12.0769582889133
2011,"Summer","Canada",443.504302593863,411.597134929742,43.3966501576274,861.707925402812
2011,"Summer","USA",81.2060731880695,92.4915514164585,268.055855735228,12.0180995144919
2012,"Fall","Canada",474.677647596955,538.979542896341,56.3139653409534,1245.11875638603
2012,"Fall","USA",86.6588410094479,95.6276912990176,255.405347857349,14.7519898754642
2012,"Spring","Canada",573.790735827257,525.26332842261,54.3040840777725,1407.27859727121
2012,"Spring","USA",96.2460089933069,95.6276912990176,255.476003161626,14.8382279808531
2012,"Summer","Canada",401.213773118428,389.079361126089,45.6979141095197,1058.65578923139
2012,"Summer","USA",90.4036592443823,94.780656578996,272.83507712993,14.8911168167521
2013,"Fall","Canada",634.368871045626,615.164074492353,58.0348795836551,1290.91479099307
2013,"Fall","USA",82.5163556125051,92.6967243095347,266.714834828645,14.6038333805897
2013,"Spring","Canada",502.274921332293,562.748487120071,56.0642318730236,1242.89379230284
2013,"Spring","USA",87.7012123684732,95.6276912990176,271.65509200924,12.3013609868451
2013,"Summer","Canada",496.118425341737,485.605076758064,60.0127364716299,1259.80989637776
2013,"Summer","USA",87.8010548857619,94.780656578996,284.320494485308,14.8118227934545
2014,"Fall","Canada",553.346843564723,635.638029000335,61.9165913500807,1264.11007074817
2014,"Fall","USA",86.9169006313062,94.780656578996,269.119509164008,14.874786726125
2014,"Spring","Canada",494.834956518944,460.538823858171,57.3739226687009,1197.02219261191
2014,"Spring","USA",82.134651501131,92.4915514164585,259.226072037992,12.0089453348215
2014,"Summer","Canada",635.103703354864,626.397594711065,65.9627471920741,1272.78929889118
2014,"Summer","USA",84.2015857589925,92.4915514164585,281.835750425262,12.1002346614045
2015,"Fall","Canada",650.273074964513,633.115820984641,68.7390011934529,1289.0273044126
2015,"Fall","USA",91.4861976148615,94.0215248568883,265.624189185601,14.9920223292515
2015,"Spring","Canada",525.899056935061,610.915046161045,56.1171897925781,1247.24673589305
2015,"Spring","USA",88.7250559580283,100.880500323746,287.85477016769,12.2852011132906
2015,"Summer","Canada",463.531880593814,455.595135837904,57.0479615720481,1224.162942013
2015,"Summer","USA",88.1256931578397,91.9444909766869,288.557891558451,12.3221879173292
2016,"Fall","Canada",646.70900220319,624.262987697373,58.6729311959152,1464.59437004056
