"Year","Season","Stratum","Depth_Mean","Depth_Median","Depth_Q5","Depth_Q95","Period"
1990,"Fall","BOF",100.866009779097,101.76823,36.8927318707075,159.629283209812,"Before Warming"
1990,"Fall","Browns",154.505400044049,119.6788,85.7364747933368,294.767763431561,"Before Warming"
1990,"Fall","CapeBreton",249.00565803071,214.70794,69.9701838894015,436.463213984887,"Before Warming"
1990,"Fall","CapeCod",137.219463752955,132.96301,61.0072110431029,216.201755837522,"Before Warming"
1990,"Fall","EGOM",125.167505237037,128.61068,38.3184235244527,192.182717238016,"Before Warming"
1990,"Fall","GBTail",638.754702487492,501.16243,67.2875377669965,1299.96729524796,"Before Warming"
1990,"Fall","Georges",160.849792867494,148.66989,52.755429054117,296.647775925148,"Before Warming"
1990,"Fall","GrandBanks",620.867789098041,656.11439,96.7987552294907,1282.32415278855,"Before Warming"
1990,"Fall","Gully",614.540254204456,239.61693,68.090150088553,1667.71168476734,"Before Warming"
1990,"Fall","HaliChan",163.427018402691,118.08698,54.9375805074292,360.053509614497,"Before Warming"
1990,"Fall","Nantucket",82.6153443562726,71.74554,36.0793372648214,154.306516847701,"Before Warming"
1990,"Fall","Sable",361.559266907219,117.33403,51.2790227394538,1525.18034849238,"Before Warming"
1990,"Spring","BOF",99.5170718112701,101.76823,36.8821543346462,159.754380883472,"Before Warming"
1990,"Spring","Browns",164.417064040613,119.6788,86.0632857554766,396.672275577096,"Before Warming"
1990,"Spring","CapeBreton",254.524335525691,214.70794,70.6411597104239,436.934676913704,"Before Warming"
1990,"Spring","CapeCod",141.47456562147,132.96301,59.9173365441705,222.470175828781,"Before Warming"
1990,"Spring","EGOM",127.994830305042,128.61068,36.40614,192.392742261228,"Before Warming"
1990,"Spring","GBTail",682.28658064331,560.34021,111.049674847595,1299.87878529272,"Before Warming"
1990,"Spring","Georges",152.905176942998,148.66989,54.1212296239642,276.092349833305,"Before Warming"
1990,"Spring","GrandBanks",582.247432781808,354.31404,90.4009887292849,1281.51325728333,"Before Warming"
1990,"Spring","Gully",684.452543249443,524.12802,66.4464419056273,1704.7403003008,"Before Warming"
1990,"Spring","HaliChan",160.388301431268,118.08698,54.4816340891858,356.350033214825,"Before Warming"
1990,"Spring","Nantucket",82.8251172880077,71.74554,36.0756903946431,154.117822048954,"Before Warming"
1990,"Spring","Sable",314.666433408725,108.84488,51.7178977186857,1506.51862302407,"Before Warming"
1990,"Summer","BOF",101.340023162629,101.76823,39.2586305354933,159.644521362316,"Before Warming"
1990,"Summer","Browns",164.842164241794,121.11132,88.751991412643,325.578657556647,"Before Warming"
1990,"Summer","CapeBreton",260.706854599882,214.70794,91.0056359258778,436.910392915462,"Before Warming"
1990,"Summer","CapeCod",136.62602680541,132.96301,57.7980502607962,216.457169053358,"Before Warming"
1990,"Summer","EGOM",125.30305855448,128.61068,36.40614,192.110959999625,"Before Warming"
1990,"Summer","GBTail",659.352390676636,560.34021,74.0004237148449,1245.70341943955,"Before Warming"
1990,"Summer","Georges",165.053009049621,148.66989,53.6992151253927,275.772225364571,"Before Warming"
1990,"Summer","GrandBanks",533.45894729392,310.88519,85.6683097614099,1275.07127669204,"Before Warming"
1990,"Summer","Gully",560.396599936947,159.07999,66.7047079282075,1458.24633330245,"Before Warming"
1990,"Summer","HaliChan",160.599568284833,118.08698,51.1833476515492,370.519672643448,"Before Warming"
1990,"Summer","Nantucket",80.1963701447241,71.52446,35.9863832318673,154.032793517831,"Before Warming"
1990,"Summer","Sable",234.785862131565,104.83015,54.2503450690073,1247.63232057216,"Before Warming"
1991,"Fall","BOF",98.7586520459267,101.76823,36.8779229195267,159.183209584403,"Before Warming"
1991,"Fall","Browns",156.361785339089,118.3739,85.7974115816476,320.875995041179,"Before Warming"
1991,"Fall","CapeBreton",248.631480434295,214.70794,69.9431886309642,436.438173750708,"Before Warming"
1991,"Fall","CapeCod",134.730764319812,132.96301,63.8442859884009,208.941936929278,"Before Warming"
1991,"Fall","EGOM",123.370770792809,120.25267,36.40614,192.005631752396,"Before Warming"
1991,"Fall","GBTail",692.045132440193,560.34021,94.7143514272221,1300.26313446998,"Before Warming"
1991,"Fall","Georges",161.87500911098,148.66989,52.1989241161022,291.144000147067,"Before Warming"
1991,"Fall","GrandBanks",547.98675385969,354.31404,87.7386476094169,1278.30998457443,"Before Warming"
1991,"Fall","Gully",595.641591993139,159.07999,67.7493499948387,1641.30987796498,"Before Warming"
1991,"Fall","HaliChan",186.673723045845,143.19907,53.773262634464,383.081831321327,"Before Warming"
1991,"Fall","Nantucket",85.5424526790723,71.74554,42.0240437629247,154.427999705333,"Before Warming"
1991,"Fall","Sable",365.395604601548,121.39395,51.2771461716971,1531.01871157027,"Before Warming"
1991,"Spring","BOF",99.5237125136709,101.76823,36.8892733026238,159.079259642159,"Before Warming"
1991,"Spring","Browns",166.161360473683,118.3739,86.0916892939675,440.227497362175,"Before Warming"
1991,"Spring","CapeBreton",249.200104633578,214.70794,70.7037223433115,436.528406087006,"Before Warming"
1991,"Spring","CapeCod",138.956301890154,132.96301,62.8042465030132,219.027988170204,"Before Warming"
1991,"Spring","EGOM",126.713635976543,128.61068,38.3590439142205,192.354970062209,"Before Warming"
1991,"Spring","GBTail",701.97138525562,560.34021,138.923055853778,1298.28927885798,"Before Warming"
1991,"Spring","Georges",149.740311217769,124.19787,50.8204591051227,277.219178397993,"Before Warming"
1991,"Spring","GrandBanks",675.47209731544,695.65688,97.6593091440997,1281.94482978834,"Before Warming"
